Date,Index Value,Standard Error
201904,49.5,3.52
201903,47.83,3.47
201902,46.63,3.74
201901,47.93,3.84
201812,54.48,4.3
201811,55.2,4.45
201810,59.32,4.52
201809,57.14,4.18
201808,51.1,3.71
201807,45.5,3.52
201806,43.46,3.39
201805,42.67,3.3
201804,38.67,3.25
201803,36.07,3.55
201802,40.24,3.77
201801,43.75,3.92
201712,41.77,3.92
201711,39.86,4.02
201710,40.4,3.99
201709,41.62,3.75
201708,36.52,3.61
201707,37.19,3.43
201706,37.77,3.54
201705,37.56,3.45
201704,40.2,3.48
201703,38.46,3.48
201702,41.99,3.67
201701,43.51,3.99
201612,41.84,4.15
201611,45.12,3.89
201610,46.39,3.87
201609,49.44,3.75
201608,50.27,3.68
201607,51.66,3.44
201606,50.41,3.21
201605,50.79,3.62
201604,50.0,3.69
201603,50.65,4.03
201602,48.43,3.96
201601,48.37,4.04
201512,48.92,4.24
201511,46.82,3.79
201510,48.15,3.63
201509,47.96,3.57
201508,49.49,3.57
201507,49.02,3.5
201506,49.73,3.66
201505,49.21,3.64
201504,48.22,3.56
201503,47.85,3.66
201502,47.31,3.66
201501,47.47,3.97
201412,46.33,3.75
201411,46.07,3.74
201410,45.1,4.02
201409,47.46,3.75
201408,47.8,3.49
201407,45.99,3.64
201406,49.0,3.53
201405,50.82,3.7
201404,48.95,3.63
201403,47.72,3.56
201402,46.55,3.78
201401,50.75,3.54
201312,51.0,3.53
201311,52.91,3.34
201310,55.32,3.24
201309,55.67,3.49
201308,59.16,3.56
201307,58.13,3.46
201306,61.11,3.46
201305,60.99,3.62
201304,63.86,3.73
201303,62.3,3.51
201302,61.54,3.48
201301,59.78,3.61
201212,59.12,3.65
201211,62.35,3.72
201210,61.85,3.69
201209,66.84,3.44
201208,68.81,3.26
201207,69.77,3.13
201206,70.51,2.98
201205,71.09,2.64
201204,71.69,2.73
201203,71.53,2.69
201202,71.48,2.75
201201,71.26,2.8
201112,70.09,2.99
201111,69.11,3.34
201110,69.27,3.33
201109,63.87,3.48
201108,61.75,3.3
201107,64.58,2.82
201106,64.75,2.96
201105,63.44,3.2
201104,63.92,3.01
201103,66.8,2.96
201102,67.86,3.34
201101,69.06,3.92
201012,67.58,3.47
201011,68.69,3.17
201010,67.68,3.32
201009,67.21,3.47
201008,67.96,3.25
201007,63.87,3.48
201006,65.64,3.4
201005,65.43,3.47
201004,62.38,3.41
201003,63.35,3.24
201002,64.94,3.14
201001,66.95,3.04
200912,67.91,3.18
200911,67.82,2.89
200910,71.72,2.88
200909,72.54,3.21
200908,74.33,3.19
200907,77.25,3.24
200906,76.92,3.02
200905,81.82,3.11
200904,79.35,2.98
200903,77.25,2.63
200902,75.56,2.87
200901,72.93,2.94
200812,70.56,3.0
200811,69.92,2.81
200810,68.54,2.84
200809,66.36,3.23
200808,67.91,2.85
200807,69.97,2.63
200806,66.67,2.53
200805,64.62,2.59
200804,63.53,2.61
200803,62.3,2.32
200802,61.46,2.44
200801,59.58,2.51
200712,61.43,2.55
200711,61.61,2.65
200710,63.67,2.73
200709,65.97,3.07
200708,64.29,3.11
200707,65.12,3.25
200706,66.45,3.83
200705,67.79,3.83
200704,69.13,3.78
200703,73.64,3.88
200702,76.64,3.61
200701,78.1,3.53
200612,73.78,3.43
200611,73.33,3.61
200610,71.54,3.96
200609,69.23,4.27
200608,69.49,4.24
200607,67.21,4.25
200606,69.0,4.62
200605,68.57,4.53
200604,70.97,4.08
200603,68.31,3.9
200602,65.38,4.17
200601,67.46,4.17
200512,64.93,4.12
200511,66.15,4.15
200510,64.03,4.07
200509,64.79,4.01
200508,66.25,3.74
200507,65.63,3.75
200506,66.88,3.79
200505,65.63,3.75
200504,61.68,3.76
200503,61.96,3.8
200502,60.45,4.22
200501,61.43,4.11
200412,64.03,4.07
200411,63.04,4.11
200410,65.35,4.22
200409,65.87,4.22
200408,64.85,3.72
200407,59.04,3.82
200406,59.77,3.72
200405,60.76,3.88
200404,64.2,3.77
200403,65.03,3.74
200402,66.45,3.79
200401,72.37,3.63
200312,69.29,3.9
200311,67.83,3.91
200310,65.19,3.79
200309,66.43,3.95
200308,68.99,3.68
200307,66.24,3.77
200306,69.83,3.43
200305,72.04,3.29
200304,76.28,3.41
200303,74.86,3.21
200302,75.93,3.36
200301,78.92,3.17
200212,78.23,3.4
200211,76.3,3.66
200210,73.05,3.74
200209,70.99,3.96
200208,65.03,3.99
200207,57.69,3.96
200206,56.57,3.75
200205,57.21,3.49
200204,57.33,3.3
200203,58.45,3.33
200202,58.12,3.57
200201,62.26,3.84
200112,61.48,4.41
200111,60.0,4.78
200110,60.42,4.99
200109,57.55,4.8
200108,58.06,5.12
200107,56.98,5.34
200104,59.76,5.42
200010,55.77,6.89
200004,27.68,4.23
199910,34.83,5.05
199904,31.61,3.73
199610,51.97,4.43
198910,73.27,4.4
